Student Survey,"","","","","","","","","","","","","","",Employee Survey,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Guardian Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
84X494 - Success Academy Charter School - Bronx 2,,62.0,71.0,86.0,65.0,77.0,83.0,75.0,69.0,62.0,75.0,59.0,67.0,47.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,80.0,87.0,80.0,60.0,80.0,67.0,
84X496 - Icahn Charter School 4,,65.0,55.0,68.0,75.0,80.0,82.0,69.0,59.0,87.0,76.0,51.0,47.0,47.0,73.0,,90.0,,,76.0,94.0,97.0,,100.0,100.0,90.0,98.0,100.0,98.0,74.0,100.0,100.0,81.0,100.0,95.0,98.0,95.0,99.0,,69.0,98.0,93.0,,,,,,,,,,,,,,,,,100.0,100.0,98.0,100.0,99.0,93.0,100.0,100.0,99.0,
84X539 - United Charter High School for Advanced Math and Science,,65.0,70.0,70.0,86.0,83.0,90.0,85.0,70.0,56.0,77.0,57.0,55.0,73.0,79.0,,86.0,,,53.0,85.0,93.0,,99.0,100.0,63.0,90.0,83.0,90.0,50.0,76.0,78.0,69.0,,87.0,71.0,75.0,95.0,,55.0,91.0,85.0,,,,,,,,,,,,,,,,,,97.0,97.0,98.0,97.0,81.0,98.0,98.0,97.0,
84X553 - United Charter High School for the Humanities,,62.0,76.0,67.0,84.0,81.0,88.0,86.0,68.0,70.0,76.0,61.0,55.0,70.0,81.0,,76.0,,,47.0,100.0,92.0,,100.0,92.0,65.0,90.0,93.0,79.0,53.0,76.0,80.0,53.0,,80.0,81.0,80.0,,,65.0,83.0,84.0,,,,,,,,,,,,,,,,,,99.0,100.0,98.0,97.0,96.0,99.0,98.0,99.0,
84X579 - Bronx Charter School for Excellence 2,,67.0,78.0,79.0,85.0,87.0,91.0,89.0,71.0,66.0,95.0,73.0,63.0,73.0,79.0,,91.0,,,82.0,96.0,87.0,,100.0,97.0,89.0,97.0,100.0,91.0,87.0,94.0,95.0,84.0,100.0,91.0,100.0,94.0,100.0,,72.0,90.0,88.0,,,,,,,,,,,,,,,,,95.0,95.0,83.0,95.0,93.0,89.0,96.0,95.0,93.0,
84X581 - South Bronx Community Charter High School,,62.0,71.0,58.0,88.0,88.0,86.0,87.0,68.0,50.0,71.0,64.0,50.0,59.0,78.0,,75.0,,,31.0,75.0,77.0,,99.0,94.0,57.0,75.0,98.0,73.0,15.0,67.0,75.0,51.0,,63.0,90.0,74.0,80.0,,63.0,75.0,93.0,,,,,,,,,,,,,,,,,,89.0,86.0,88.0,88.0,86.0,89.0,90.0,91.0,
84X585 - Legacy College Preparatory Charter School,,63.0,67.0,64.0,84.0,78.0,86.0,88.0,64.0,54.0,76.0,69.0,52.0,65.0,76.0,,93.0,,,63.0,89.0,93.0,,97.0,96.0,77.0,93.0,99.0,89.0,31.0,91.0,90.0,75.0,,85.0,97.0,86.0,93.0,,67.0,93.0,89.0,,,,,,,,,,,,,,,,,,93.0,88.0,94.0,92.0,87.0,93.0,93.0,91.0,
84X586 - Brilla Veritas Charter School,,68.0,75.0,73.0,86.0,86.0,87.0,91.0,73.0,65.0,84.0,70.0,59.0,77.0,82.0,,87.0,,,66.0,84.0,83.0,,94.0,95.0,86.0,91.0,96.0,83.0,46.0,82.0,88.0,64.0,85.0,77.0,95.0,83.0,81.0,,51.0,90.0,94.0,,,,,,,,,,,,,,,,,97.0,97.0,94.0,98.0,96.0,96.0,97.0,97.0,94.0,
84X588 - South Bronx Classical Charter School IV,,86.0,67.0,96.0,80.0,79.0,100.0,75.0,84.0,73.0,82.0,69.0,77.0,83.0,83.0,,93.0,,,71.0,89.0,85.0,,89.0,96.0,66.0,89.0,98.0,77.0,90.0,73.0,89.0,80.0,92.0,72.0,88.0,81.0,90.0,,52.0,89.0,73.0,,,,,,,,,,,,,,,,,91.0,95.0,83.0,95.0,97.0,89.0,93.0,98.0,89.0,
84X592 - Amber Charter School Kingsbridge,,62.0,54.0,56.0,73.0,72.0,77.0,75.0,54.0,39.0,70.0,43.0,45.0,51.0,67.0,,87.0,,,66.0,96.0,96.0,,88.0,99.0,84.0,98.0,100.0,93.0,65.0,94.0,86.0,78.0,100.0,95.0,95.0,90.0,95.0,,63.0,99.0,93.0,,,,,,,,,,,,,,,,,94.0,94.0,92.0,96.0,94.0,94.0,95.0,96.0,91.0,
84X597 - Urban Assembly Charter School for Computer Science,,76.0,87.0,83.0,94.0,95.0,96.0,92.0,81.0,69.0,89.0,92.0,64.0,86.0,89.0,,94.0,,,80.0,97.0,96.0,,100.0,100.0,84.0,94.0,97.0,93.0,75.0,88.0,83.0,68.0,,97.0,100.0,94.0,96.0,,79.0,98.0,91.0,,,,,,,,,,,,,,,,,,96.0,92.0,99.0,97.0,92.0,98.0,97.0,98.0,
84X598 - KIPP Freedom Charter School,,54.0,54.0,67.0,72.0,72.0,67.0,80.0,63.0,73.0,61.0,43.0,60.0,47.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,94.0,74.0,96.0,93.0,94.0,96.0,95.0,92.0,
84X609 - Zeta Charter Schools - South Bronx,,63.0,50.0,50.0,69.0,59.0,100.0,100.0,41.0,40.0,63.0,56.0,43.0,55.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,88.0,87.0,93.0,78.0,95.0,94.0,88.0,93.0,96.0,91.0,88.0
84X610 - Urban Dove Team Charter School II,,74.0,88.0,73.0,91.0,88.0,92.0,93.0,82.0,64.0,91.0,80.0,66.0,85.0,88.0,,74.0,,,24.0,71.0,88.0,,100.0,90.0,75.0,87.0,92.0,67.0,26.0,80.0,82.0,29.0,,75.0,85.0,65.0,87.0,,54.0,93.0,90.0,,,,,,,,,,,,,,,,,,99.0,95.0,98.0,93.0,73.0,96.0,95.0,98.0,
84X611 - AECI II: NYC Charter HS for Computer Engineering and Innovation,,63.0,83.0,69.0,88.0,85.0,93.0,91.0,70.0,71.0,90.0,78.0,62.0,81.0,82.0,,88.0,,,67.0,97.0,92.0,,97.0,95.0,66.0,91.0,95.0,87.0,86.0,87.0,82.0,66.0,,90.0,99.0,70.0,89.0,,77.0,96.0,84.0,,,,,,,,,,,,,,,,,,94.0,90.0,95.0,91.0,83.0,95.0,93.0,88.0,
84X612 - Creo College Preparatory Charter School,,67.0,60.0,55.0,68.0,65.0,50.0,60.0,53.0,48.0,76.0,53.0,53.0,50.0,55.0,,95.0,,,86.0,100.0,99.0,,100.0,100.0,96.0,100.0,99.0,97.0,64.0,99.0,99.0,82.0,88.0,99.0,100.0,96.0,98.0,,71.0,100.0,97.0,,,,,,,,,,,,,,,,,97.0,94.0,90.0,98.0,96.0,91.0,97.0,97.0,94.0,
84X613 - Bold Charter School,,77.0,73.0,89.0,83.0,82.0,98.0,97.0,79.0,63.0,89.0,65.0,62.0,65.0,86.0,,92.0,,,90.0,97.0,82.0,,85.0,95.0,93.0,91.0,96.0,87.0,82.0,96.0,81.0,76.0,94.0,89.0,100.0,92.0,98.0,,51.0,88.0,87.0,,,,,,,,,,,,,,,,,94.0,97.0,88.0,97.0,94.0,93.0,95.0,96.0,91.0,
84X614 - Dream Charter School Mott Haven,,82.0,87.0,85.0,99.0,90.0,90.0,96.0,91.0,66.0,84.0,85.0,78.0,87.0,94.0,,76.0,,,55.0,81.0,85.0,,92.0,94.0,70.0,86.0,96.0,80.0,67.0,81.0,78.0,50.0,88.0,78.0,88.0,73.0,79.0,,63.0,89.0,89.0,,,,,,,,,,,,,,,,,93.0,92.0,83.0,94.0,92.0,90.0,93.0,94.0,89.0,
84X615 - University Prep Charter Middle School,,64.0,68.0,68.0,84.0,83.0,90.0,88.0,64.0,44.0,78.0,66.0,59.0,52.0,78.0,,90.0,,,71.0,80.0,94.0,,82.0,92.0,82.0,88.0,99.0,88.0,34.0,87.0,83.0,78.0,,93.0,80.0,78.0,89.0,,86.0,89.0,76.0,,,,,,,,,,,,,,,,,100.0,99.0,94.0,99.0,98.0,86.0,99.0,99.0,96.0,
84X616 - KIPP Bronx Charter School II,,58.0,62.0,66.0,81.0,74.0,78.0,83.0,62.0,43.0,72.0,58.0,53.0,44.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,89.0,66.0,88.0,88.0,86.0,91.0,89.0,79.0,
84X617 - KIPP Bronx Charter School III,,70.0,78.0,74.0,90.0,90.0,100.0,97.0,74.0,56.0,80.0,83.0,63.0,71.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,97.0,95.0,95.0,91.0,86.0,94.0,94.0,89.0,
84X620 - Bronx Charter School for Excellence 5,,69.0,73.0,70.0,84.0,83.0,91.0,83.0,65.0,69.0,78.0,54.0,57.0,68.0,76.0,,90.0,,,72.0,100.0,95.0,,100.0,98.0,88.0,97.0,100.0,96.0,58.0,93.0,91.0,66.0,90.0,96.0,97.0,91.0,88.0,,68.0,100.0,89.0,,,,,,,,,,,,,,,,,92.0,94.0,80.0,95.0,93.0,89.0,95.0,95.0,90.0,
84X623 - Neighborhood Charter School: Bronx,,60.0,64.0,64.0,80.0,75.0,85.0,91.0,58.0,71.0,89.0,63.0,57.0,76.0,74.0,,86.0,,,72.0,82.0,92.0,,79.0,96.0,74.0,81.0,98.0,75.0,70.0,78.0,89.0,63.0,90.0,82.0,98.0,79.0,85.0,,53.0,80.0,75.0,,,,,,,,,,,,,,,,,96.0,94.0,95.0,99.0,96.0,95.0,97.0,97.0,92.0,
84X627 - Capital Preparatory Bronx Charter School,,59.0,52.0,66.0,82.0,61.0,86.0,79.0,57.0,38.0,65.0,39.0,44.0,49.0,71.0,,86.0,,,63.0,59.0,84.0,,84.0,94.0,70.0,94.0,98.0,89.0,50.0,83.0,77.0,77.0,,61.0,90.0,72.0,88.0,,59.0,72.0,85.0,,,,,,,,,,,,,,,,,,79.0,73.0,86.0,85.0,82.0,84.0,85.0,82.0,
84X630 - Girls Preparatory Charter School of the Bronx II,,62.0,55.0,60.0,72.0,72.0,80.0,73.0,54.0,40.0,68.0,49.0,43.0,40.0,68.0,,84.0,,,57.0,67.0,83.0,,97.0,91.0,51.0,81.0,100.0,77.0,22.0,76.0,74.0,58.0,95.0,58.0,91.0,74.0,90.0,,44.0,76.0,77.0,,,,,,,,,,,,,,,,,85.0,86.0,98.0,86.0,82.0,87.0,87.0,87.0,80.0,
84X635 - Earl Monroe New Renaissance Basketball Charter School,,92.0,95.0,95.0,97.0,96.0,95.0,97.0,94.0,93.0,98.0,94.0,90.0,96.0,95.0,,75.0,,,56.0,90.0,88.0,,94.0,92.0,58.0,78.0,85.0,66.0,60.0,66.0,77.0,62.0,,81.0,82.0,71.0,90.0,,51.0,84.0,85.0,,,,,,,,,,,,,,,,,,97.0,100.0,99.0,95.0,93.0,97.0,97.0,94.0,
84X639 - Dream Charter School Highbridge,,72.0,86.0,86.0,88.0,84.0,86.0,64.0,87.0,80.0,89.0,85.0,78.0,83.0,88.0,,89.0,,,77.0,89.0,76.0,,85.0,85.0,92.0,92.0,95.0,79.0,68.0,76.0,79.0,58.0,95.0,82.0,91.0,81.0,89.0,,61.0,89.0,89.0,,,,,,,,,,,,,,,,,96.0,93.0,90.0,96.0,95.0,96.0,96.0,96.0,95.0,
84X649 - Democracy Preparatory Endurance Charter,,63.0,66.0,65.0,86.0,75.0,85.0,90.0,63.0,60.0,83.0,66.0,51.0,61.0,75.0,,83.0,100.0,100.0,54.0,85.0,93.0,83.0,89.0,92.0,69.0,96.0,100.0,82.0,25.0,86.0,91.0,69.0,88.0,76.0,95.0,80.0,95.0,94.0,71.0,92.0,71.0,100.0,,,,,,,,,,,,,,,,83.0,88.0,96.0,92.0,90.0,85.0,93.0,92.0,85.0,
84X703 - Bronx Preparatory Charter School,,65.0,60.0,65.0,82.0,80.0,77.0,81.0,58.0,44.0,72.0,58.0,45.0,49.0,68.0,,88.0,,,79.0,93.0,93.0,,98.0,93.0,89.0,88.0,93.0,85.0,79.0,82.0,86.0,86.0,,88.0,88.0,92.0,,,74.0,92.0,93.0,,,,,,,,,,,,,,,,,,88.0,74.0,91.0,88.0,80.0,92.0,91.0,86.0,
84X704 - KIPP Academy Charter School,,70.0,80.0,60.0,68.0,95.0,60.0,80.0,67.0,52.0,90.0,60.0,68.0,70.0,95.0,,86.0,,,59.0,75.0,80.0,,85.0,90.0,51.0,82.0,88.0,77.0,26.0,80.0,73.0,65.0,67.0,76.0,90.0,73.0,78.0,,57.0,85.0,61.0,,,,,,,,,,,,,,,,,90.0,97.0,92.0,98.0,93.0,91.0,97.0,97.0,92.0,
84X706 - Harriet Tubman Charter School,,66.0,57.0,66.0,79.0,74.0,83.0,79.0,61.0,36.0,73.0,33.0,49.0,47.0,70.0,,93.0,,,83.0,92.0,95.0,,99.0,99.0,81.0,97.0,99.0,98.0,68.0,94.0,96.0,83.0,84.0,93.0,55.0,95.0,99.0,,59.0,98.0,91.0,,,,,,,,,,,,,,,,,90.0,96.0,82.0,93.0,94.0,91.0,94.0,94.0,87.0,
84X730 - Bronx Charter School for the Arts,,72.0,78.0,67.0,91.0,80.0,92.0,91.0,67.0,77.0,88.0,62.0,69.0,80.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,93.0,91.0,97.0,94.0,90.0,97.0,96.0,92.0,
84X999 - Vertex Partnership Academies,,59.0,62.0,66.0,83.0,73.0,88.0,79.0,57.0,66.0,84.0,57.0,52.0,69.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,90.0,88.0,91.0,88.0,92.0,83.0,
01M015 - P.S. 015 Roberto Clemente,,,,,,,,,,,,,,,,,98.0,,,71.0,100.0,96.0,,100.0,100.0,98.0,100.0,100.0,100.0,73.0,95.0,92.0,75.0,100.0,89.0,98.0,94.0,97.0,,85.0,98.0,98.0,,,,,,,,,,,,,,,100.0,100.0,98.0,96.0,97.0,99.0,94.0,96.0,97.0,97.0,92.0,100.0
01M020 - P.S. 020 Anna Silver,,,,,,,,,,,,,,,,,95.0,,,62.0,100.0,96.0,,83.0,100.0,96.0,100.0,100.0,96.0,46.0,96.0,99.0,66.0,90.0,100.0,94.0,95.0,96.0,,86.0,99.0,96.0,,,,,,,,,,,,,,,,,91.0,89.0,92.0,97.0,92.0,93.0,96.0,95.0,91.0,
01M063 - The STAR Academy - P.S.63,,,,,,,,,,,,,,,,,91.0,,,61.0,58.0,96.0,,54.0,100.0,82.0,65.0,94.0,80.0,25.0,77.0,78.0,58.0,96.0,72.0,77.0,79.0,71.0,,52.0,49.0,90.0,,,,,,,,,,,,,,,75.0,94.0,69.0,79.0,73.0,78.0,81.0,91.0,78.0,85.0,66.0,100.0
01M064 - P.S. 064 Robert Simon,,,,,,,,,,,,,,,,,90.0,,,65.0,91.0,93.0,,100.0,100.0,87.0,98.0,100.0,97.0,73.0,97.0,94.0,66.0,95.0,76.0,97.0,91.0,100.0,,77.0,92.0,82.0,,,,,,,,,,,,,,,78.0,96.0,95.0,95.0,88.0,95.0,94.0,90.0,98.0,95.0,88.0,100.0
01M110 - P.S. 110 Florence Nightingale,,,,,,,,,,,,,,,,,92.0,,,75.0,88.0,92.0,,100.0,97.0,82.0,92.0,95.0,91.0,54.0,88.0,89.0,70.0,94.0,81.0,85.0,82.0,85.0,,51.0,89.0,95.0,,,,,,,,,,,,,,,100.0,93.0,91.0,96.0,96.0,96.0,94.0,96.0,94.0,95.0,91.0,100.0
01M134 - P.S. 134 Henrietta Szold,,,,,,,,,,,,,,,,,84.0,,,47.0,45.0,79.0,,89.0,91.0,77.0,63.0,96.0,70.0,18.0,73.0,61.0,38.0,59.0,45.0,91.0,61.0,74.0,,40.0,41.0,88.0,,,,,,,,,,,,,,,86.0,95.0,91.0,95.0,93.0,99.0,98.0,96.0,98.0,98.0,93.0,100.0
01M142 - P.S. 142 Amalia Castro,,,,,,,,,,,,,,,,,85.0,100.0,100.0,69.0,93.0,93.0,100.0,88.0,95.0,85.0,84.0,97.0,82.0,69.0,80.0,82.0,71.0,82.0,86.0,42.0,88.0,90.0,100.0,73.0,89.0,90.0,100.0,,,,,,,,,,,,,,100.0,100.0,99.0,99.0,100.0,100.0,100.0,99.0,100.0,100.0,81.0,100.0
01M315 - The East Village Community School,,,,,,,,,,,,,,,,,90.0,,,80.0,95.0,96.0,,92.0,97.0,89.0,92.0,99.0,92.0,73.0,90.0,85.0,70.0,96.0,97.0,90.0,93.0,88.0,,66.0,92.0,93.0,,,,,,,,,,,,,,,70.0,92.0,92.0,94.0,89.0,96.0,95.0,97.0,96.0,96.0,86.0,98.0
01M361 - The Children's Workshop School,,,,,,,,,,,,,,,,,86.0,,,89.0,100.0,97.0,100.0,100.0,100.0,91.0,99.0,100.0,97.0,100.0,95.0,90.0,89.0,96.0,95.0,39.0,99.0,93.0,,94.0,96.0,97.0,,,,,,,,,,,,,,,88.0,96.0,98.0,93.0,94.0,94.0,93.0,98.0,94.0,95.0,92.0,100.0
01M363 - Neighborhood School,,,,,,,,,,,,,,,,,89.0,,,82.0,100.0,100.0,,100.0,100.0,86.0,80.0,100.0,91.0,86.0,52.0,71.0,89.0,100.0,95.0,81.0,91.0,,,89.0,86.0,90.0,,,,,,,,,,,,,,,71.0,100.0,94.0,87.0,97.0,90.0,94.0,96.0,91.0,95.0,82.0,100.0
01M364 - Earth School,,,,,,,,,,,,,,,,,87.0,,,88.0,83.0,98.0,,50.0,100.0,93.0,90.0,100.0,77.0,83.0,71.0,72.0,77.0,100.0,100.0,72.0,100.0,,,57.0,86.0,94.0,,,,,,,,,,,,,,,67.0,95.0,88.0,93.0,84.0,93.0,97.0,97.0,91.0,96.0,83.0,100.0
02M001 - P.S. 001 Alfred E. Smith,,,,,,,,,,,,,,,,,88.0,100.0,100.0,72.0,100.0,95.0,100.0,100.0,99.0,93.0,98.0,100.0,96.0,91.0,100.0,88.0,49.0,92.0,91.0,59.0,86.0,91.0,100.0,69.0,99.0,99.0,100.0,,,,,,,,,,,,,,96.0,97.0,97.0,97.0,99.0,97.0,96.0,97.0,96.0,96.0,95.0,100.0
02M002 - P.S. 002 Meyer London,,,,,,,,,,,,,,,,,96.0,,,74.0,89.0,98.0,,85.0,99.0,86.0,100.0,100.0,100.0,50.0,94.0,93.0,68.0,92.0,94.0,93.0,88.0,95.0,,80.0,99.0,97.0,,,,,,,,,,,,,,,100.0,100.0,96.0,95.0,93.0,97.0,95.0,94.0,96.0,96.0,91.0,100.0
02M003 - P.S. 003 Charrette School,,,,,,,,,,,,,,,,,77.0,100.0,100.0,56.0,68.0,84.0,93.0,70.0,88.0,82.0,67.0,93.0,71.0,78.0,67.0,65.0,58.0,100.0,68.0,81.0,83.0,66.0,84.0,56.0,55.0,85.0,100.0,,,,,,,,,,,,,,64.0,89.0,77.0,88.0,85.0,75.0,90.0,94.0,64.0,95.0,84.0,100.0
02M006 - P.S. 006 Lillie D. Blake,,,,,,,,,,,,,,,,,90.0,,,75.0,83.0,93.0,100.0,39.0,100.0,88.0,86.0,100.0,88.0,89.0,85.0,78.0,77.0,99.0,85.0,90.0,94.0,79.0,,61.0,84.0,98.0,,,,,,,,,,,,,,,57.0,97.0,89.0,94.0,90.0,96.0,93.0,96.0,95.0,97.0,81.0,98.0
02M011 - P.S. 011: The Sarah J. Garnet Elementary School,,,,,,,,,,,,,,,,,88.0,,,86.0,94.0,95.0,,81.0,98.0,95.0,96.0,99.0,94.0,75.0,98.0,85.0,80.0,85.0,96.0,86.0,92.0,95.0,,76.0,98.0,96.0,,,,,,,,,,,,,,,,,97.0,95.0,92.0,97.0,95.0,96.0,96.0,98.0,81.0,
02M033 - P.S. 033 Chelsea Prep,,,,,,,,,,,,,,,,,76.0,,,55.0,15.0,79.0,,89.0,89.0,69.0,76.0,97.0,79.0,21.0,73.0,69.0,48.0,82.0,62.0,79.0,75.0,69.0,,52.0,72.0,95.0,,,,,,,,,,,,,,,,,92.0,95.0,100.0,95.0,95.0,96.0,96.0,97.0,85.0,
02M040 - P.S. 040 Augustus Saint-Gaudens,,,,,,,,,,,,,,,,,92.0,,,75.0,100.0,94.0,,100.0,97.0,91.0,93.0,100.0,94.0,73.0,86.0,79.0,75.0,100.0,97.0,56.0,96.0,87.0,,71.0,99.0,100.0,,,,,,,,,,,,,,,88.0,100.0,93.0,95.0,87.0,93.0,95.0,97.0,98.0,98.0,71.0,100.0
02M041 - P.S. 041 Greenwich Village,,,,,,,,,,,,,,,,,85.0,,,85.0,91.0,88.0,100.0,60.0,96.0,78.0,82.0,100.0,90.0,88.0,85.0,75.0,79.0,99.0,89.0,89.0,85.0,83.0,,58.0,83.0,96.0,,,,,,,,,,,,,,,63.0,94.0,92.0,96.0,100.0,98.0,97.0,98.0,98.0,98.0,75.0,100.0
02M042 - P.S. 042 Benjamin Altman,,,,,,,,,,,,,,,,,95.0,,,82.0,98.0,99.0,,100.0,100.0,99.0,100.0,100.0,99.0,89.0,99.0,93.0,81.0,99.0,99.0,98.0,99.0,98.0,,89.0,100.0,97.0,,,,,,,,,,,,,,,100.0,100.0,99.0,95.0,96.0,99.0,97.0,96.0,99.0,99.0,92.0,100.0
02M051 - P.S. 051 Elias Howe,,,,,,,,,,,,,,,,,88.0,,,81.0,96.0,96.0,100.0,78.0,100.0,89.0,94.0,96.0,95.0,80.0,97.0,82.0,66.0,92.0,91.0,95.0,93.0,89.0,,85.0,95.0,96.0,,,,,,,,,,,,,,,95.0,98.0,95.0,95.0,90.0,98.0,96.0,95.0,98.0,97.0,90.0,100.0
02M059 - P.S. 059 Beekman Hill International,,,,,,,,,,,,,,,,,87.0,,,86.0,90.0,95.0,100.0,28.0,99.0,96.0,93.0,100.0,96.0,88.0,97.0,91.0,81.0,99.0,96.0,85.0,96.0,89.0,,69.0,95.0,96.0,,,,,,,,,,,,,,,83.0,100.0,92.0,94.0,94.0,94.0,94.0,96.0,95.0,97.0,83.0,100.0
02M077 - P.S. 77 Lower Lab School,,,,,,,,,,,,,,,,,88.0,,,88.0,94.0,87.0,,89.0,94.0,89.0,76.0,94.0,92.0,94.0,90.0,73.0,90.0,97.0,86.0,81.0,89.0,89.0,,54.0,77.0,90.0,,,,,,,,,,,,,,,,,93.0,95.0,100.0,92.0,96.0,94.0,95.0,98.0,83.0,
02M089 - P.S. 89,,,,,,,,,,,,,,,,,91.0,,,90.0,100.0,97.0,,100.0,100.0,99.0,93.0,100.0,90.0,100.0,85.0,83.0,78.0,100.0,100.0,98.0,94.0,90.0,,71.0,98.0,100.0,,,,,,,,,,,,,,,64.0,100.0,97.0,90.0,93.0,96.0,94.0,97.0,96.0,97.0,89.0,100.0
02M111 - P.S. 111 Adolph S. Ochs,,,,,,,,,,,,,,,,,90.0,,,49.0,83.0,89.0,,49.0,99.0,94.0,94.0,96.0,92.0,54.0,84.0,89.0,48.0,94.0,91.0,95.0,91.0,72.0,,65.0,89.0,99.0,,,,,,,,,,,,,,,63.0,100.0,83.0,91.0,74.0,93.0,91.0,91.0,92.0,95.0,89.0,100.0
02M116 - P.S. 116 Mary Lindley Murray,,,,,,,,,,,,,,,,,89.0,,,62.0,95.0,95.0,,42.0,98.0,94.0,96.0,100.0,94.0,71.0,90.0,73.0,55.0,91.0,86.0,80.0,88.0,85.0,,63.0,94.0,100.0,,,,,,,,,,,,,,,79.0,97.0,92.0,88.0,80.0,97.0,92.0,95.0,98.0,96.0,85.0,100.0
02M124 - P.S. 124 Yung Wing,,,,,,,,,,,,,,,,,90.0,,,68.0,83.0,85.0,,85.0,95.0,82.0,86.0,98.0,82.0,77.0,87.0,82.0,55.0,92.0,80.0,82.0,83.0,89.0,,45.0,71.0,89.0,,,,,,,,,,,,,,,93.0,100.0,96.0,95.0,97.0,98.0,97.0,96.0,97.0,99.0,91.0,100.0
02M130 - P.S. 130 Hernando De Soto,,,,,,,,,,,,,,,,,94.0,,,77.0,89.0,94.0,83.0,79.0,98.0,88.0,96.0,98.0,90.0,66.0,93.0,88.0,68.0,100.0,96.0,98.0,89.0,92.0,,75.0,97.0,97.0,,,,,,,,,,,,,,,67.0,89.0,96.0,94.0,95.0,98.0,96.0,93.0,97.0,97.0,90.0,89.0
02M150 - P.S. 150,,,,,,,,,,,,,,,,,91.0,,,93.0,100.0,99.0,,100.0,100.0,100.0,100.0,100.0,100.0,94.0,100.0,98.0,89.0,98.0,100.0,98.0,100.0,97.0,,90.0,100.0,100.0,,,,,,,,,,,,,,,86.0,100.0,98.0,95.0,94.0,99.0,97.0,98.0,98.0,99.0,94.0,100.0
02M151 - Yorkville Community School,,,,,,,,,,,,,,,,,93.0,,,82.0,97.0,98.0,,87.0,99.0,89.0,91.0,99.0,92.0,93.0,97.0,87.0,81.0,100.0,92.0,97.0,93.0,96.0,,80.0,93.0,96.0,,,,,,,,,,,,,,,77.0,94.0,93.0,96.0,87.0,94.0,96.0,97.0,97.0,98.0,90.0,100.0
02M158 - P.S. 158 Bayard Taylor,,,,,,,,,,,,,,,,,92.0,90.0,100.0,77.0,99.0,99.0,100.0,89.0,100.0,98.0,98.0,100.0,98.0,83.0,99.0,97.0,78.0,100.0,94.0,84.0,93.0,98.0,90.0,81.0,93.0,99.0,100.0,,,,,,,,,,,,,,85.0,100.0,93.0,92.0,91.0,95.0,94.0,96.0,94.0,97.0,89.0,100.0
02M183 - P.S. 183 Robert L. Stevenson,,,,,,,,,,,,,,,,,85.0,,,89.0,100.0,93.0,,58.0,97.0,91.0,92.0,100.0,86.0,89.0,98.0,86.0,76.0,100.0,94.0,96.0,92.0,97.0,,72.0,93.0,98.0,,,,,,,,,,,,,,,88.0,94.0,98.0,96.0,89.0,98.0,96.0,97.0,99.0,98.0,89.0,100.0
02M198 - P.S. 198 Isidor E. Ida Straus,,,,,,,,,,,,,,,,,93.0,,,85.0,100.0,99.0,,42.0,100.0,96.0,99.0,100.0,93.0,95.0,97.0,86.0,76.0,100.0,100.0,89.0,95.0,98.0,,84.0,93.0,100.0,,,,,,,,,,,,,,,100.0,100.0,95.0,96.0,97.0,97.0,96.0,98.0,97.0,98.0,89.0,100.0
02M212 - P.S. 212 Midtown West,,,,,,,,,,,,,,,,,91.0,,,73.0,96.0,99.0,,89.0,98.0,80.0,95.0,99.0,96.0,67.0,93.0,89.0,77.0,91.0,97.0,77.0,92.0,96.0,,86.0,96.0,92.0,,,,,,,,,,,,,,,96.0,100.0,93.0,93.0,87.0,97.0,95.0,95.0,96.0,98.0,88.0,100.0
02M234 - P.S. 234 Independence School,,,,,,,,,,,,,,,,,90.0,,,80.0,100.0,100.0,,75.0,99.0,98.0,98.0,100.0,95.0,90.0,90.0,90.0,75.0,100.0,100.0,94.0,96.0,92.0,,79.0,96.0,100.0,,,,,,,,,,,,,,,,,96.0,92.0,86.0,93.0,94.0,96.0,92.0,96.0,86.0,
"02M267 - East Side Elementary School, PS 267",,,,,,,,,,,,,,,,,81.0,,,82.0,63.0,94.0,,64.0,97.0,93.0,82.0,100.0,94.0,69.0,85.0,81.0,74.0,100.0,92.0,79.0,88.0,99.0,,76.0,82.0,93.0,,,,,,,,,,,,,,,,,96.0,92.0,86.0,92.0,91.0,93.0,96.0,95.0,90.0,
02M281 - The River School,,,,,,,,,,,,,,,,,86.0,,,90.0,90.0,93.0,91.0,83.0,96.0,95.0,69.0,100.0,86.0,84.0,94.0,69.0,79.0,100.0,76.0,90.0,89.0,81.0,,55.0,42.0,95.0,,,,,,,,,,,,,,,79.0,94.0,95.0,94.0,91.0,97.0,95.0,96.0,97.0,97.0,86.0,100.0
